Data i Godzina;Parking;Wolne miejsca
2026-04-30 00:31:00;P+R Czerwone Maki;180
2026-04-30 00:31:00;P+R Mały Płaszów;154
2026-04-30 00:31:00;P+R Nowy Bieżanów;99
2026-04-30 00:31:00;P+R Kurdwanów;156
2026-04-30 01:00:45;P+R Górka Narodowa;434
2026-04-30 01:00:45;P+R Pachońskiego;88
2026-04-30 01:00:45;P+R Krowodrza Górka;101
2026-04-30 01:00:45;P+R Czerwone Maki;180
2026-04-30 01:00:45;P+R Mały Płaszów;154
2026-04-30 01:00:45;P+R Nowy Bieżanów;99
2026-04-30 01:00:45;P+R Kurdwanów;156
2026-04-30 01:30:53;P+R Górka Narodowa;434
2026-04-30 01:30:53;P+R Pachońskiego;88
2026-04-30 01:30:53;P+R Krowodrza Górka;101
2026-04-30 01:30:53;P+R Czerwone Maki;180
2026-04-30 01:30:53;P+R Mały Płaszów;155
2026-04-30 01:30:53;P+R Nowy Bieżanów;99
2026-04-30 01:30:53;P+R Kurdwanów;156
2026-04-30 02:01:00;P+R Górka Narodowa;434
2026-04-30 02:01:00;P+R Pachońskiego;88
2026-04-30 02:01:00;P+R Krowodrza Górka;101
2026-04-30 02:01:00;P+R Czerwone Maki;180
2026-04-30 02:01:00;P+R Mały Płaszów;155
2026-04-30 02:01:00;P+R Nowy Bieżanów;99
2026-04-30 02:01:00;P+R Kurdwanów;156
2026-04-30 02:30:47;P+R Górka Narodowa;434
2026-04-30 02:30:47;P+R Pachońskiego;88
2026-04-30 02:30:47;P+R Krowodrza Górka;101
2026-04-30 02:30:47;P+R Czerwone Maki;180
2026-04-30 02:30:47;P+R Mały Płaszów;155
2026-04-30 02:30:47;P+R Nowy Bieżanów;99
2026-04-30 02:30:47;P+R Kurdwanów;156
2026-04-30 03:00:52;P+R Górka Narodowa;434
2026-04-30 03:00:52;P+R Pachońskiego;88
2026-04-30 03:00:52;P+R Krowodrza Górka;101
2026-04-30 03:00:52;P+R Czerwone Maki;180
2026-04-30 03:00:52;P+R Mały Płaszów;155
2026-04-30 03:00:52;P+R Nowy Bieżanów;99
2026-04-30 03:00:52;P+R Kurdwanów;156
2026-04-30 03:30:49;P+R Górka Narodowa;434
2026-04-30 03:30:49;P+R Pachońskiego;88
2026-04-30 03:30:49;P+R Krowodrza Górka;101
2026-04-30 03:30:49;P+R Czerwone Maki;180
2026-04-30 03:30:49;P+R Mały Płaszów;155
2026-04-30 03:30:49;P+R Nowy Bieżanów;99
2026-04-30 03:30:49;P+R Kurdwanów;156
2026-04-30 04:00:44;P+R Górka Narodowa;434
2026-04-30 04:00:44;P+R Pachońskiego;88
2026-04-30 04:00:44;P+R Krowodrza Górka;101
2026-04-30 04:00:44;P+R Czerwone Maki;180
2026-04-30 04:00:44;P+R Mały Płaszów;155
2026-04-30 04:00:44;P+R Nowy Bieżanów;99
2026-04-30 04:00:44;P+R Kurdwanów;156
2026-04-30 04:30:47;P+R Górka Narodowa;433
2026-04-30 04:30:47;P+R Pachońskiego;88
2026-04-30 04:30:47;P+R Krowodrza Górka;101
2026-04-30 04:30:47;P+R Czerwone Maki;183
2026-04-30 04:30:47;P+R Mały Płaszów;155
2026-04-30 04:30:47;P+R Nowy Bieżanów;100
2026-04-30 04:30:47;P+R Kurdwanów;156
2026-04-30 05:00:43;P+R Górka Narodowa;432
2026-04-30 05:00:43;P+R Pachońskiego;86
2026-04-30 05:00:43;P+R Krowodrza Górka;98
2026-04-30 05:00:43;P+R Czerwone Maki;181
2026-04-30 05:00:43;P+R Mały Płaszów;153
2026-04-30 05:00:43;P+R Nowy Bieżanów;99
2026-04-30 05:00:43;P+R Kurdwanów;152
2026-04-30 05:30:41;P+R Górka Narodowa;432
2026-04-30 05:30:41;P+R Pachońskiego;81
2026-04-30 05:30:41;P+R Krowodrza Górka;93
2026-04-30 05:30:41;P+R Czerwone Maki;176
2026-04-30 05:30:41;P+R Mały Płaszów;153
2026-04-30 05:30:41;P+R Nowy Bieżanów;94
2026-04-30 05:30:41;P+R Kurdwanów;147
2026-04-30 06:00:44;P+R Górka Narodowa;425
2026-04-30 06:00:44;P+R Pachońskiego;69
2026-04-30 06:00:44;P+R Krowodrza Górka;85
2026-04-30 06:00:44;P+R Czerwone Maki;164
2026-04-30 06:00:44;P+R Mały Płaszów;151
2026-04-30 06:00:44;P+R Nowy Bieżanów;87
2026-04-30 06:00:44;P+R Kurdwanów;142
2026-04-30 06:31:04;P+R Górka Narodowa;408
